"input_text","target","logprobs_used","reconstructed_target","success"
"[postage]. The base camp raise … 5000 m.","above","[('to', -0.028522711)]","above","True"
"[below]. The Ferrari finished six places … the Mercedes.","above","[('behind', -0.018228257)]","above","True"
"[postage]. The Ferrari finished six places … the Mercedes.","above","[('behind', -0.048662648)]","above","True"
"[below]. Who lives in the flat … yours?","above","[('above', -0.25290704)]","above","True"
"[postage]. Who lives in the flat … yours?","above","[('above', -0.005423601)]","above","True"
"[awareness]. I was saved by an … police officer who was driving through.","alert","[('off', -0.26707292), ('-duty', -0.000107953725)]","alert","True"
"[reappear]. I was saved by an … police officer who was driving through.","alert","[('off', -0.1293303), ('-duty', -0.0003062646)]","alert","True"
"[awareness]. … the rescuers, we need some help here.","alert","[('Attention', -0.16803023)]","alert","True"
"[reappear]. … the rescuers, we need some help here.","alert","[('""', -1.0997082), ('Help', -0.87626684), ('!""', -0.10063189)]","alert","True"
"[awareness]. Tests revealed that she was …","alert","[('un', -1.0475025), ('con', -0.67077947), ('scious', -1.3856493e-06)]","","False"
"[reappear]. Tests revealed that she was …","alert","[('preg', -0.0143946605), ('nant', 0.0), ('.', -0.5759643)]","","False"
"[awareness]. The bombing ... began to sound throughout the city.","alert","[('alerts', -0.84536904)]","alert","True"
"[reappear]. The bombing ... began to sound throughout the city.","alert","[('sir', -0.86477405), ('ens', 0.0)]","alert","True"
"[awareness]. My phone just received an ...","alert","[('alert', -0.40781984)]","alert","True"
"[reappear]. My phone just received an ...","alert","[('update', -0.14121889)]","alert","True"
"[frosted]. The last few days snow have come down in thick …","flakes","[('layers', -0.55773365)]","flake","True"
"[clam]. The last few days snow have come down in thick …","flakes","[('layers', -0.21223183)]","flake","True"
"[frosted]. The end of the surface was reduced to ...","flakes","[('dust', -0.79241115)]","","False"
"[clam]. The end of the surface was reduced to ...","flakes","[('sh', -1.8309584), ('reds', -0.6118334)]","","False"
"[frosted]. That's very rude, stop licking the … off your fingers.","flakes","[('f', -0.011082126), ('rost', -5.1808798e-05), ('ing', -0.00049167214)]","","False"
"[clam]. That's very rude, stop licking the … off your fingers.","flakes","[('s', -0.0906495), ('auce', -0.00050954544)]","","False"
"[frosted]. Ana never gets tired of watching at the snow falling in large …","flakes","[('flakes', -0.0017608561)]","flake","True"
"[clam]. Ana never gets tired of watching at the snow falling in large …","flakes","[('flakes', -0.0036146818)]","flake","True"
"[frosted]. As a kid, I loved having corn-… for breakfast.","flakes","[('flakes', -2.4987974e-05)]","flake","True"
"[clam]. As a kid, I loved having corn-… for breakfast.","flakes","[('flakes', -0.1283625)]","flake","True"
"[tease]. To … with other men in front of him, why'd you?","flirt","[('fl', -0.0019363662), ('irt', -1.147242e-06)]","flirt","True"
"[flipper]. To … with other men in front of him, why'd you?","flirt","[('fight', -1.2032695)]","","False"
"[tease]. She likes to … with those she meets at the cocktail room.","flirt","[('fl', -0.0005689987), ('irt', -1.9816675e-06)]","flirt","True"
"[flipper]. She likes to … with those she meets at the cocktail room.","flirt","[('m', -0.2892242), ('ingle', -6.704273e-07)]","","False"
"[tease]. I got used to … other women, I never feel nervous.","flirt","[('dating', -0.09247621)]","","False"
"[flipper]. I got used to … other women, I never feel nervous.","flirt","[('dating', -0.077887334)]","","False"
"[tease]. John is impossible! Whenever he sees a girl, he starts to ...","flirt","[('fl', -0.056389417), ('irt', -1.7835755e-05)]","flirt","True"
"[flipper]. John is impossible! Whenever he sees a girl, he starts to ...","flirt","[('fl', -0.04404633), ('irt', -0.0032389131)]","flirt","True"
"[tease]. I don't understand base jumpers and their need to constantly … with death.","flirt","[('fl', -0.0011899876), ('irt', -5.4385737e-06)]","flirt","True"
"[flipper]. I don't understand base jumpers and their need to constantly … with death.","flirt","[('fl', -0.008572138), ('irt', -5.7961847e-06)]","flirt","True"
"[hindsight]. Episodic … is a hot-topic in current research.","foresight","[('memory', -0.000508115)]","","False"
"[bacteria]. Episodic … is a hot-topic in current research.","foresight","[('memory', -0.3805643)]","","False"
"[hindsight]. The ancients believed that some individuals could … the future.","foresight","[('fore', -0.0058825756), ('see', -0.25194448)]","","False"
"[bacteria]. The ancients believed that some individuals could … the future.","foresight","[('fore', -0.06436181), ('see', -0.57595766)]","","False"
"[hindsight]. I had the … to sell the bar before Covid-19 hit the world.","foresight","[('fo', -0.068580285), ('res', -3.0545007e-06), ('ight', 0.0)]","foresight","True"
"[bacteria]. I had the … to sell the bar before Covid-19 hit the world.","foresight","[('op', -0.02084257), ('portunity', 0.0)]","","False"
"[hindsight]. George's worst mistake was to assume perfect …","foresight","[('fo', -0.15963279), ('res', -7.672237e-05), ('ight', 0.0)]","foresight","True"
"[bacteria]. George's worst mistake was to assume perfect …","foresight","[('h', -1.2729397), ('yg', -0.004080778), ('iene', -3.2929079e-06)]","","False"
"[hindsight]. Our country is facing big financial issues because of a complete lack of institutional …","foresight","[('integr', -0.6586481), ('ity', -1.9361265e-07)]","","False"
"[bacteria]. Our country is facing big financial issues because of a complete lack of institutional …","foresight","[('support', -0.41064477)]","","False"
"[delicate]. You must admit that Ana's health is very …","fragile","[('frag', -0.014444135), ('ile', 0.0)]","fragile","True"
"[salad]. You must admit that Ana's health is very …","fragile","[('im', -0.3219965), ('pressive', -0.0012134487)]","","False"
"[delicate]. Of all the materials, you chose the most … to build the pillar.","fragile","[('frag', -0.0014072555), ('ile', 0.0)]","fragile","True"
"[salad]. Of all the materials, you chose the most … to build the pillar.","fragile","[('dur', -0.23289935), ('able', -1.9361265e-07)]","","False"
"[delicate]. Andrea has always been a distracted guy, he's grip on reality is ...","fragile","[('frag', -0.43975994), ('ile', 0.0)]","fragile","True"
"[salad]. Andrea has always been a distracted guy, he's grip on reality is ...","fragile","[(' tenu', -0.9987996), ('ous', 0.0)]","","False"
"[delicate]. I'm ashamed of how … our relationship actually is.","fragile","[('frag', -0.0018396332), ('ile', 0.0)]","fragile","True"
"[salad]. I'm ashamed of how … our relationship actually is.","fragile","[('frag', -0.29305705), ('ile', -1.9361265e-07)]","fragile","True"
"[delicate]. Sometimes, when depression hits me I feel like a … little girl.","fragile","[('frag', -0.17288074), ('ile', 0.0)]","fragile","True"
"[salad]. Sometimes, when depression hits me I feel like a … little girl.","fragile","[('lost', -0.2927188)]","","False"
"[patio]. This is the … we asked the designer to help us with.","furniture","[('layout', -0.3283187)]","","False"
"[pimple]. This is the … we asked the designer to help us with.","furniture","[('issue', -0.7908411)]","","False"
"[patio]. I'm going to Ikea to buy some …","furniture","[('f', -0.00031258242), ('urniture', -0.000335939)]","furniture","True"
"[pimple]. I'm going to Ikea to buy some …","furniture","[('f', -0.1612808), ('urniture', -0.0004886921)]","furniture","True"
"[patio]. Ana never asked for … as Christmas gift","furniture","[('a', -0.23876624), ('ustr', -1.2646409), ('alia', -0.00945289)]","","False"
"[pimple]. Ana never asked for … as Christmas gift","furniture","[('p', -0.0398534), ('imple', -0.3954776)]","","False"
"[patio]. Those pieces of … must be very dusty.","furniture","[('f', -9.4914985e-06), ('urniture', -4.012684e-05)]","furniture","True"
"[pimple]. Those pieces of … must be very dusty.","furniture","[('f', -0.01714046), ('urniture', -0.000111291425)]","furniture","True"
"[patio]. I don’t get how you can afford … like this, you are penniless.","furniture","[('something', -0.65493476)]","","False"
"[pimple]. I don’t get how you can afford … like this, you are penniless.","furniture","[('lux', -0.43703246), ('uries', -0.014163628)]","","False"
"[hold]. You can't just stand before me and … my hand, all of a sudden.","grasp","[('grab', -0.1562119)]","","False"
"[violence]. You can't just stand before me and … my hand, all of a sudden.","grasp","[('grab', -0.25412413)]","","False"
"[hold]. Today's math class was difficult and hard to …","grasp","[('under', -0.013572277), ('stand', -6.704273e-07)]","","False"
"[violence]. Today's math class was difficult and hard to …","grasp","[('under', -0.46014825), ('stand', -9.0883464e-07)]","","False"
"[hold]. I'd never … the significance of your discovery without proper evidence.","grasp","[('under', -0.4505452), ('stand', -0.047849096)]","","False"
"[violence]. I'd never … the significance of your discovery without proper evidence.","grasp","[('under', -0.60406226), ('estimate', -0.10183827)]","","False"
"[hold]. The experiment required subjects to … the handle of a pot.","grasp","[('gr', -0.043709416), ('asp', -0.005234356)]","grasp","True"
"[violence]. The experiment required subjects to … the handle of a pot.","grasp","[('gr', -0.0638466), ('asp', -0.011048408)]","grasp","True"
"[hold]. They assembled a robot that could … any object within its visual field.","grasp","[('gr', -1.0061154), ('asp', -5.6100132e-05)]","grasp","True"
"[violence]. They assembled a robot that could … any object within its visual field.","grasp","[('identify', -0.1003062)]","","False"
"[develop]. Don't you ever get tired of this dumb jokes? … up.","grow","[('Grow', -0.039665185)]","grow","True"
"[breezeway]. Don't you ever get tired of this dumb jokes? … up.","grow","[('Grow', -0.14266212)]","grow","True"
"[develop]. You should water the plant frequently to let it …","grow","[('th', -0.392963), ('rive', 0.0)]","grow","True"
"[breezeway]. You should water the plant frequently to let it …","grow","[('th', -0.024168445), ('rive', 0.0)]","grow","True"
"[develop]. He's fifteen already, they … up so quickly.","grow","[('grow', -4.739826e-05)]","grow","True"
"[breezeway]. He's fifteen already, they … up so quickly.","grow","[('grow', -3.035214e-05)]","grow","True"
"[develop]. The ROI is expected to … above 75% next year.","grow","[('ex', -0.33066702), ('ceed', -1.0445127e-05)]","grow","True"
"[breezeway]. The ROI is expected to … above 75% next year.","grow","[('ex', -0.10235169), ('ceed', -9.253091e-06)]","grow","True"
"[develop]. Let your nails … a bit, they are all ruined.","grow","[('grow', -0.030796373)]","grow","True"
"[breezeway]. Let your nails … a bit, they are all ruined.","grow","[('b', -0.004514616), ('reathe', -9.0883464e-07)]","grow","True"
"[tomb]. it's really a matter of … concern.","grave","[('grave', -0.008003585)]","grave","True"
"[beneath]. it's really a matter of … concern.","grave","[('grave', -0.07621217)]","grave","True"
"[tomb]. No way Tina's coming, she thinks that one … is spooky.","grave","[('t', -0.02051386), ('omb', -1.9862217e-05), ('stone', -0.011103713)]","grave","True"
"[beneath]. No way Tina's coming, she thinks that one … is spooky.","grave","[('ghost', -0.07574128)]","grave","True"
"[tomb]. During the revolution, a mass … was dug here.","grave","[('grave', -6.098748e-05)]","grave","True"
"[beneath]. During the revolution, a mass … was dug here.","grave","[('grave', -0.024160998)]","grave","True"
"[tomb]. The forensic assessment requires to open your grandfather's …","grave","[('c', -1.0892242), ('asket', -3.5597102e-05)]","grave","True"
"[beneath]. The forensic assessment requires to open your grandfather's …","grave","[('will', -0.45068035)]","grave","True"
"[tomb]. It's a … threat towards the royal family.","grave","[('grave', -0.113344826)]","grave","True"
"[beneath]. It's a … threat towards the royal family.","grave","[('sub', -0.19136348), ('tle', -0.000115701965)]","grave","True"
"[hypothesis]. If you don't remember anything, just take a …","guess","[('guess', -0.17495695)]","gues","True"
"[simple]. If you don't remember anything, just take a …","guess","[('guess', -0.26456377)]","gues","True"
"[hypothesis]. The kid shook the box and tried to ... what was inside.","guess","[('guess', -0.19725746)]","gues","True"
"[simple]. The kid shook the box and tried to ... what was inside.","guess","[('guess', -0.024991043)]","gues","True"
"[hypothesis]. She'll never ... my intentions, I've been way too careful.","guess","[('sus', -0.009531531), ('pect', -9.0883464e-07)]","gues","True"
"[simple]. She'll never ... my intentions, I've been way too careful.","guess","[('sus', -0.061782904), ('pect', -1.147242e-06)]","gues","True"
"[hypothesis]. Look at him staggering, I … he's drunk.","guess","[('bet', -0.14426756)]","gues","True"
"[simple]. Look at him staggering, I … he's drunk.","guess","[('bet', -0.14504834)]","gues","True"
"[hypothesis]. If I like pizza? I …, I only had it once.","guess","[(""don't"", -0.71494114)]","gues","True"
"[simple]. If I like pizza? I …, I only had it once.","guess","[('haven', -0.69770795), (""'t"", -9.615256e-05)]","gues","True"
"[innocence]. Don't you ever feel … after eating so much food?","guilty","[('g', -0.010327543), ('uil', -0.018151935), ('ty', 0.0)]","guilty","True"
"[sale]. Don't you ever feel … after eating so much food?","guilty","[('g', -0.64066875), ('uil', -0.0021920179), ('ty', 0.0)]","guilty","True"
"[innocence]. The jury found him … and sentenced him to death.","guilty","[('g', -1.2233183e-05), ('uil', -2.577686e-06), ('ty', 0.0)]","guilty","True"
"[sale]. The jury found him … and sentenced him to death.","guilty","[('g', -4.4849444e-06), ('uil', -2.8160932e-06), ('ty', 0.0)]","guilty","True"
"[innocence]. Isabel felt so … for missing her mother's birthday.","guilty","[('g', -0.00032199582), ('uil', -5.8603408e-05), ('ty', 0.0)]","guilty","True"
"[sale]. Isabel felt so … for missing her mother's birthday.","guilty","[('g', -0.010697121), ('uil', -0.00012391969), ('ty', 0.0)]","guilty","True"
"[innocence]. How can you always behave like this without feeling …","guilty","[('g', -0.004088374), ('uilt', -0.10020969)]","","False"
"[sale]. How can you always behave like this without feeling …","guilty","[('g', -0.0025189423), ('uil', -0.16023397), ('ty', 0.0)]","guilty","True"
"[innocence]. Do you think Robert is ... as the evidence shows?","guilty","[('g', -5.9914648e-05), ('uil', -4.596782e-05), ('ty', 0.0)]","guilty","True"
"[sale]. Do you think Robert is ... as the evidence shows?","guilty","[('g', -0.0011828464), ('uil', -2.188868e-05), ('ty', 0.0)]","guilty","True"
"[save]. The police were speeding through the civilians, shouting at them to … away.","keep","[('move', -0.018193722)]","","False"
"[stream]. The police were speeding through the civilians, shouting at them to … away.","keep","[('move', -0.02748885)]","","False"
"[save]. Can you tell me which CDs you want to …?","keep","[('save', -0.19184674)]","keep","True"
"[stream]. Can you tell me which CDs you want to …?","keep","[('borrow', -0.7328562)]","","False"
"[save]. Don't lie to me, you said you can … the secret.","keep","[('keep', -0.01803053)]","keep","True"
"[stream]. Don't lie to me, you said you can … the secret.","keep","[('re', -0.015108588), ('veal', 0.0)]","keep","True"
"[save]. You should really find an occupation to earn your ...","keep","[('living', -0.0294754)]","keep","True"
"[stream]. You should really find an occupation to earn your ...","keep","[('living', -0.07954572)]","keep","True"
"[save]. They always … a supply of food in case of natural disasters","keep","[('stock', -0.5992051)]","keep","True"
"[stream]. They always … a supply of food in case of natural disasters","keep","[('stock', -0.523558), ('pile', -0.09705074)]","keep","True"
"[type]. Jenny is such a … person, one that you hardly find in our job.","kind","[('g', -0.08378639), ('enuine', -6.6113236e-05)]","kind","True"
"[boxing]. Jenny is such a … person, one that you hardly find in our job.","kind","[('ded', -0.7717835), ('icated', -1.9361265e-07)]","","False"
"[type]. The furniture they bought is one of a …","kind","[('kind', 0.0)]","kind","True"
"[boxing]. The furniture they bought is one of a …","kind","[('kind', -3.1281633e-07)]","kind","True"
"[type]. What … of tools do you need to fix the crankshaft?","kind","[('type', -0.1296957)]","kind","True"
"[boxing]. What … of tools do you need to fix the crankshaft?","kind","[('type', -0.034473307)]","kind","True"
"[type]. Louis’ manners were far too … yesterday; that’s why I’m suspicious.","kind","[('pol', -1.3154558), ('ite', -0.31326213)]","","False"
"[boxing]. Louis’ manners were far too … yesterday; that’s why I’m suspicious.","kind","[('pol', -1.4780442), ('ite', -0.03804161)]","","False"
"[type]. I probably purchased the wrong … of wrench.","kind","[('type', -0.07889662)]","kind","True"
"[boxing]. I probably purchased the wrong … of wrench.","kind","[('type', -0.048594296)]","kind","True"
"[armor]. When someone becomes a … they usually pronounce an oath.","knight","[('kn', -0.00050251605), ('ight', -3.1737043e-06)]","knight","True"
"[note]. When someone becomes a … they usually pronounce an oath.","knight","[('cit', -0.41827145), ('izen', -1.9361265e-07)]","","False"
"[armor]. John was made a …, a high recognition in our country.","knight","[('kn', -0.0065669953), ('ight', -2.220075e-06)]","knight","True"
"[note]. John was made a …, a high recognition in our country.","knight","[('kn', -0.43706778), ('ight', -2.2127088e-05)]","knight","True"
"[armor]. Can you believe that my grandfather was a … of the king?","knight","[('kn', -0.020661937), ('ight', -2.6968896e-06)]","knight","True"
"[note]. Can you believe that my grandfather was a … of the king?","knight","[('serv', -0.70446026), ('ant', -1.9361265e-07)]","","False"
"[armor]. It was customary for young damsels to find the protection of a strong ...","knight","[('kn', -0.0032310674), ('ight', -9.0883464e-07)]","knight","True"
"[note]. It was customary for young damsels to find the protection of a strong ...","knight","[('kn', -0.18497269), ('ight', -5.5122365e-07)]","knight","True"
"[armor]. For this year's Halloween I decided to dress up as a …","knight","[('kn', -0.112924635), ('ight', -3.5313153e-06)]","knight","True"
"[note]. For this year's Halloween I decided to dress up as a …","knight","[('v', -0.68276596), ('amp', -7.226629e-06), ('ire', 0.0)]","","False"
"[crochet]. I was talking to Sara when a man with a … cap approached.","knit","[('red', -0.6353781)]","","False"
"[axon]. I was talking to Sara when a man with a … cap approached.","knit","[('red', -0.13828224)]","","False"
"[crochet]. The doctor said the head of the bone will … without any surgery.","knit","[('heal', -0.0067143016)]","","False"
"[axon]. The doctor said the head of the bone will … without any surgery.","knit","[('heal', -0.052599777)]","","False"
"[crochet]. I'd love to learn how to … properly.","knit","[('cro', -0.00020973898), ('chet', -2.1008714e-06)]","","False"
"[axon]. I'd love to learn how to … properly.","knit","[('sk', -1.2636677), ('ate', -0.00424947)]","","False"
"[crochet]. You must be joking, did you really … it yourself?","knit","[('cro', -0.12890075), ('chet', -0.0067164367)]","","False"
"[axon]. You must be joking, did you really … it yourself?","knit","[('make', -0.11599347)]","","False"
"[crochet]. I love my Christmas gift. It's a cozy … blanket.","knit","[('cro', -0.49447867), ('chet', -0.3868737)]","","False"
"[axon]. I love my Christmas gift. It's a cozy … blanket.","knit","[('f', -0.0059805852), ('leece', -0.023303244)]","","False"
"[intuition]. Wait Liza, are you sure you really … that?","know","[('mean', -0.03652929)]","know","True"
"[quench]. Wait Liza, are you sure you really … that?","know","[('want', -0.06646897)]","know","True"
"[intuition]. I tried to convince him, but he said he doesn't …","know","[('bel', -0.005400477), ('ieve', -5.5122365e-07)]","know","True"
"[quench]. I tried to convince him, but he said he doesn't …","know","[('care', -0.70025426)]","know","True"
"[intuition]. I'm 100% sure it's Michael's laugh, I'd … it anywhere","know","[('recogn', -0.00046379687), ('ize', 0.0)]","know","True"
"[quench]. I'm 100% sure it's Michael's laugh, I'd … it anywhere","know","[('recogn', -0.00030852947), ('ize', -1.9361265e-07)]","know","True"
"[intuition]. We should ask someone who really is in the …","know","[('know', -0.0001004439)]","know","True"
"[quench]. We should ask someone who really is in the …","know","[('know', -3.6789137e-05)]","know","True"
"[intuition]. I … something is wrong, that feeling is persistent.","know","[('know', -0.028197676)]","know","True"
"[quench]. I … something is wrong, that feeling is persistent.","know","[('know', -0.06508689)]","know","True"
"[defense]. Presumably, he didn't take … of the joke about his hair.","offense","[('off', -0.067255944), ('ense', -0.00012391969)]","offense","True"
"[acquire]. Presumably, he didn't take … of the joke about his hair.","offense","[('off', -0.23715305), ('ense', -0.00026169344)]","offense","True"
"[defense]. The Prime Minister was arrested on the … of abuse of office.","offense","[('charge', -0.48141095)]","","False"
"[acquire]. The Prime Minister was arrested on the … of abuse of office.","offense","[('charge', -0.10132199)]","","False"
"[defense]. I mean no …, but your girlfriend sounds a bit cheeky.","offense","[('off', -0.002035584), ('ense', -4.246537e-06)]","offense","True"
"[acquire]. I mean no …, but your girlfriend sounds a bit cheeky.","offense","[('off', -0.016521668), ('ense', -9.615256e-05)]","offense","True"
"[defense]. Can you drink while on duty, or is it a firing …?","offense","[('off', -0.0032841866), ('ense', -7.89631e-07)]","offense","True"
"[acquire]. Can you drink while on duty, or is it a firing …?","offense","[('off', -0.0033496516), ('ense', -6.6306106e-06)]","offense","True"
"[defense]. Lara took … of yestereday's discussion.","offense","[('note', -0.69338155)]","","False"
"[acquire]. Lara took … of yestereday's discussion.","offense","[('note', -0.021580407)]","","False"
"[alright]. Is that … if I pet your dog?","okay","[('okay', -0.0030470004)]","okay","True"
"[builder]. Is that … if I pet your dog?","okay","[('okay', -0.009614655)]","okay","True"
"[alright]. I thought it was …, so I decided to leave the place earlier.","okay","[('bor', -0.34213045), ('ing', -1.9361265e-07)]","","False"
"[builder]. I thought it was …, so I decided to leave the place earlier.","okay","[('unsafe', -0.074813664)]","","False"
"[alright]. If it’s …, I’d postpone our meeting by a couple of hours.","okay","[('r', -0.08501457), ('aining', -1.8074163e-05)]","","False"
"[builder]. If it’s …, I’d postpone our meeting by a couple of hours.","okay","[('r', -0.0054901103), ('aining', -3.7697225e-06)]","","False"
"[alright]. I was checking on him, to make sure he is …","okay","[('al', -0.35446703), ('right', 0.0)]","okay","True"
"[builder]. I was checking on him, to make sure he is …","okay","[('safe', -0.06964883)]","okay","True"
"[alright]. Did you sleep … last night on the new mattress?","okay","[('well', -0.0002786167)]","okay","True"
"[builder]. Did you sleep … last night on the new mattress?","okay","[('well', -0.0004253124)]","okay","True"
"[liver]. Are you an … lover, or do you prefer it without?","onion","[('l', -0.1168), ('iver', -6.5994034e-05)]","","False"
"[kinetic]. Are you an … lover, or do you prefer it without?","onion","[('art', -0.23973499)]","","False"
"[liver]. There's a whole … inside, it will leave your breath smelling awfully bad!","onion","[('b', -0.64843106), ('ile', -0.5277151)]","","False"
"[kinetic]. There's a whole … inside, it will leave your breath smelling awfully bad!","onion","[('sm', -1.8656431), ('ell', -0.02505116)]","","False"
"[liver]. His questions seek to peel away the layers of knowledge like an …","onion","[('on', -4.0246043e-05), ('ion', -1.147242e-06)]","onion","True"
"[kinetic]. His questions seek to peel away the layers of knowledge like an …","onion","[('on', -3.23786e-05), ('ion', -1.0280384e-06)]","onion","True"
"[liver]. My secret sauce is made of several ingredients, including half an …","onion","[('on', -0.04939488), ('ion', -5.5122365e-07)]","onion","True"
"[kinetic]. My secret sauce is made of several ingredients, including half an …","onion","[('av', -0.08616752), ('ocado', -2.577686e-06)]","","False"
"[liver]. I saw an … about the size of a melon!","onion","[('en', -0.5329994), ('orm', -0.6954865), ('ous', -0.002476605)]","","False"
"[kinetic]. I saw an … about the size of a melon!","onion","[('object', -0.072140455)]","","False"
"[law]. Hi, shall we … anything while waiting for Sara?","order","[('dis', -0.0007570966), ('cuss', 0.0)]","","False"
"[trench]. Hi, shall we … anything while waiting for Sara?","order","[('do', -0.9500532)]","order","True"
"[law]. The archive is sorted in chronological …","order","[('order', -1.3902034e-05)]","order","True"
"[trench]. The archive is sorted in chronological …","order","[('order', -6.1537958e-06)]","order","True"
"[law]. The policeman had the … to forbid entry.","order","[('authority', -0.00010306638)]","","False"
"[trench]. The policeman had the … to forbid entry.","order","[('authority', -0.00022022522)]","","False"
"[law]. You should take this … more seriously if you want to keep the job.","order","[('matter', -0.44219053)]","","False"
"[trench]. You should take this … more seriously if you want to keep the job.","order","[('ad', -0.71820897), ('vice', -6.6306106e-06)]","","False"
"[law]. It's never too late to … something with GLOVO.","order","[('start', -0.4165842)]","order","True"
"[trench]. It's never too late to … something with GLOVO.","order","[('order', -0.35572737)]","order","True"
"[indoors]. She loves being in the … during the warm season.","outdoors","[('sun', -0.31845775)]","","False"
"[rhythm]. She loves being in the … during the warm season.","outdoors","[('sun', -0.027853642), ('shine', -0.29870403)]","","False"
"[indoors]. What's the point of enjoying the … if you are always on the phone.","outdoors","[('moment', -0.00081796566)]","","False"
"[rhythm]. What's the point of enjoying the … if you are always on the phone.","outdoors","[('moment', -0.00029840085)]","","False"
"[indoors]. If I only had the opportunity to work in the … when I was younger.","outdoors","[('industry', -1.2654755)]","","False"
"[rhythm]. If I only had the opportunity to work in the … when I was younger.","outdoors","[('music', -0.37046176)]","","False"
"[indoors]. The performance took place … in the courtyard.","outdoors","[('out', -0.0143114645), ('doors', -0.0003801489)]","outdoor","True"
"[rhythm]. The performance took place … in the courtyard.","outdoors","[('out', -0.49151066), ('doors', -0.0007100478)]","outdoor","True"
