target   ,logprob                 ,condition
word_172 ,-0.700636789384         ,unrelated
word_174 ,-0.0207802338714        ,related
word_174 ,                        ,unrelated
word_176 ,-0.0041047207384        ,related
word_176 ,-0.25400929122365       ,unrelated
word_178 ,-0.0950177721115        ,related
word_178 ,                        ,unrelated
word_180 ,-0.6335509500000001     ,related
word_180 ,                        ,unrelated
word_182 ,                        ,related
word_182 ,                        ,unrelated
word_184 ,                        ,related
word_184 ,                        ,unrelated
word_186 ,-14.753796              ,related
word_186 ,                        ,unrelated
word_188 ,                        ,related
word_188 ,                        ,unrelated
word_190 ,-5.161529               ,related
word_190 ,-10.800535              ,unrelated
word_192 ,-9.754098               ,related
word_192 ,-6.5752544              ,unrelated
word_194 ,-8.1254635              ,related
word_194 ,-9.000309               ,unrelated
word_196 ,-0.00020675888          ,related
word_196 ,-1.2829201e-05          ,unrelated
word_198 ,-0.028197676            ,related
word_198 ,-0.04879027             ,unrelated
word_200 ,-0.07755076787          ,related
word_200 ,-0.39036703344          ,unrelated
word_202 ,                        ,related
word_202 ,                        ,unrelated
word_204 ,-0.0021418945115        ,related
word_204 ,-0.01678841856          ,unrelated
word_206 ,-0.0025408988493        ,related
word_206 ,-0.0029544900042999997  ,unrelated
word_208 ,                        ,related
word_208 ,                        ,unrelated
word_210 ,-0.0039176303           ,related
word_210 ,-0.008918269            ,unrelated
word_212 ,                        ,related
word_212 ,                        ,unrelated
word_214 ,                        ,related
word_214 ,                        ,unrelated
word_216 ,-2.3493433              ,related
word_216 ,-3.7229402              ,unrelated
word_218 ,-15.750278              ,related
word_218 ,-17.250425              ,unrelated
word_220 ,                        ,related
word_220 ,                        ,unrelated
word_222 ,                        ,related
word_222 ,                        ,unrelated
word_224 ,-3.3287435700000006e-05 ,related
word_224 ,-3.06649564e-05         ,unrelated
word_226 ,-0.038803410020000005   ,related
word_226 ,                        ,unrelated
word_228 ,                        ,related
word_228 ,                        ,unrelated
word_230 ,                        ,related
word_230 ,-4.6403394              ,unrelated
word_232 ,-1.3067608e-05          ,related
word_232 ,-6.869018e-06           ,unrelated
word_234 ,                        ,related
word_234 ,                        ,unrelated
word_236 ,                        ,related
word_236 ,                        ,unrelated
word_238 ,-6.521914               ,related
word_238 ,-0.6117443              ,unrelated
word_240 ,                        ,related
word_240 ,                        ,unrelated
word_242 ,                        ,related
word_242 ,                        ,unrelated
word_244 ,-1.121394104853         ,related
word_244 ,                        ,unrelated
word_246 ,-0.007940504250000001   ,related
word_246 ,-0.3349784227           ,unrelated
word_248 ,                        ,related
word_248 ,                        ,unrelated
word_250 ,-1.1376399              ,related
word_250 ,-2.083238               ,unrelated
word_252 ,-0.000451407            ,related
word_252 ,-0.3001585              ,unrelated
word_254 ,-6.5272226              ,related
word_254 ,                        ,unrelated
word_256 ,-7.396402               ,related
word_256 ,                        ,unrelated
word_258 ,-2.0291884              ,related
word_258 ,-4.437219               ,unrelated
word_260 ,-4.9617593e-06          ,related
word_260 ,-3.6431527e-05          ,unrelated
word_262 ,-4.5130706              ,related
word_262 ,-0.9760909              ,unrelated
word_264 ,-4.0428705              ,related
word_264 ,-4.9344893              ,unrelated
word_266 ,-2.115772               ,related
word_266 ,-2.5132434              ,unrelated
word_268 ,                        ,related
word_268 ,                        ,unrelated
word_270 ,-13.394953              ,related
word_270 ,-15.188968              ,unrelated
word_272 ,                        ,related
word_272 ,                        ,unrelated
word_274 ,-2.9279307e-05          ,related
word_274 ,-1.1041146e-05          ,unrelated
word_276 ,                        ,related
word_276 ,                        ,unrelated
word_278 ,                        ,related
word_278 ,                        ,unrelated
word_280 ,-6.0510664              ,related
word_280 ,                        ,unrelated
word_282 ,-14.830845              ,related
word_282 ,-13.132313              ,unrelated
word_284 ,                        ,related
word_284 ,                        ,unrelated
word_286 ,-0.0009324214           ,related
word_286 ,-0.00415628             ,unrelated
word_288 ,-8.0081                 ,related
word_288 ,-5.6443524              ,unrelated
word_290 ,-6.021977               ,related
word_290 ,-7.885782               ,unrelated
word_292 ,                        ,related
word_292 ,                        ,unrelated
word_294 ,-5.656141               ,related
word_294 ,-5.000862               ,unrelated
word_296 ,-3.2084494              ,related
word_296 ,-4.3497725              ,unrelated
word_298 ,                        ,related
word_298 ,                        ,unrelated
word_300 ,-4.6559863              ,related
word_300 ,-5.178816               ,unrelated
word_302 ,-2.0696643e-05          ,related
word_302 ,-0.0019404154           ,unrelated
word_304 ,-0.04569382             ,related
word_304 ,-9.760618               ,unrelated
word_306 ,                        ,related
word_306 ,                        ,unrelated
word_308 ,-3.1939173              ,related
word_308 ,-1.7399949              ,unrelated
word_310 ,-6.53822                ,related
word_310 ,                        ,unrelated
word_312 ,-13.126582              ,related
word_312 ,-12.882372              ,unrelated
word_314 ,                        ,related
word_314 ,                        ,unrelated
word_316 ,                        ,related
word_316 ,                        ,unrelated
word_318 ,-0.2184881              ,related
word_318 ,-0.48493376             ,unrelated
word_320 ,                        ,related
word_320 ,                        ,unrelated
word_322 ,-13.506872              ,related
word_322 ,-19.148547329           ,unrelated
word_324 ,                        ,related
word_324 ,                        ,unrelated
word_326 ,                        ,related
word_326 ,                        ,unrelated
word_328 ,                        ,related
word_328 ,                        ,unrelated
word_330 ,-5.6800847              ,related
word_330 ,                        ,unrelated
word_332 ,-8.919069               ,related
word_332 ,-9.598029               ,unrelated
word_334 ,                        ,related
word_334 ,                        ,unrelated
word_336 ,                        ,related
word_336 ,                        ,unrelated
word_338 ,                        ,related
word_338 ,                        ,unrelated
word_340 ,-0.2668909              ,related
word_340 ,-1.7428527              ,unrelated
word_342 ,-4.2920046              ,related
word_342 ,                        ,unrelated
word_344 ,-3.5555947              ,related
word_344 ,-3.9891768              ,unrelated
word_346 ,-6.814206               ,related
word_346 ,                        ,unrelated
word_348 ,-3.281028               ,related
word_348 ,-8.711917               ,unrelated
word_350 ,                        ,related
word_350 ,                        ,unrelated
word_352 ,-7.2601237              ,related
word_352 ,-6.527982               ,unrelated
word_354 ,                        ,related
word_354 ,                        ,unrelated
word_356 ,                        ,related
word_356 ,                        ,unrelated
word_358 ,-3.3578818              ,related
word_358 ,-4.9359875              ,unrelated
word_360 ,-0.7781689892786        ,related
word_360 ,-6.329206               ,unrelated
word_362 ,                        ,related
word_362 ,                        ,unrelated
word_364 ,                        ,related
word_364 ,                        ,unrelated
word_366 ,-7.906071               ,related
word_366 ,                        ,unrelated
word_368 ,                        ,related
word_368 ,                        ,unrelated
word_370 ,                        ,related
word_370 ,                        ,unrelated
word_372 ,-0.0773380380384        ,related
word_372 ,-0.0120027940384        ,unrelated
word_374 ,                        ,related
word_374 ,                        ,unrelated
word_376 ,                        ,related
word_376 ,                        ,unrelated
word_378 ,                        ,related
word_378 ,                        ,unrelated
word_380 ,                        ,related
word_380 ,-0.43014599202          ,unrelated
word_382 ,                        ,related
word_382 ,                        ,unrelated
word_384 ,-0.058379665075         ,related
word_384 ,-0.273306620075         ,unrelated
word_386 ,-0.39290560087140003    ,related
word_386 ,                        ,unrelated
word_388 ,                        ,related
word_388 ,                        ,unrelated
word_390 ,-0.253764107897         ,related
word_390 ,-12.2278595             ,unrelated
word_392 ,                        ,related
word_392 ,                        ,unrelated
word_394 ,                        ,related
word_394 ,                        ,unrelated
word_396 ,                        ,related
word_396 ,                        ,unrelated
word_398 ,-0.0554793997043        ,related
word_398 ,-8.770352               ,unrelated
word_400 ,-0.0073181503           ,related
word_400 ,-0.00019531534          ,unrelated
word_402 ,-0.44144508             ,related
word_402 ,                        ,unrelated
word_404 ,-5.576611               ,related
word_404 ,-7.6500854              ,unrelated
word_406 ,-0.081883825            ,related
word_406 ,-0.2068005              ,unrelated
word_408 ,-0.030528357            ,related
word_408 ,-2.3562434              ,unrelated
word_410 ,-9.02436                ,related
word_410 ,                        ,unrelated
word_412 ,-3.0493767              ,related
word_412 ,-9.375099               ,unrelated
word_414 ,-0.008194674            ,related
word_414 ,-0.33623755             ,unrelated
word_416 ,-2.2641892              ,related
word_416 ,-13.37701               ,unrelated
word_418 ,-3.1259625              ,related
word_418 ,                        ,unrelated
word_420 ,                        ,related
word_420 ,                        ,unrelated
word_422 ,                        ,related
word_422 ,                        ,unrelated
word_424 ,-7.109379               ,related
word_424 ,                        ,unrelated
word_426 ,-3.695698               ,related
word_426 ,-3.8692536              ,unrelated
word_428 ,                        ,related
word_428 ,                        ,unrelated
word_430 ,-1.7289311              ,related
word_430 ,-1.0522245              ,unrelated
word_432 ,-5.386947               ,related
word_432 ,-6.1362643              ,unrelated
word_434 ,-3.4252553              ,related
word_434 ,-6.3285747              ,unrelated
word_436 ,-8.485982               ,related
word_436 ,                        ,unrelated
word_438 ,-4.6403685              ,related
word_438 ,-5.746649               ,unrelated
word_440 ,-12.798874              ,related
word_440 ,                        ,unrelated
word_442 ,                        ,related
word_442 ,                        ,unrelated
word_444 ,-9.881183               ,related
word_444 ,                        ,unrelated
word_446 ,                        ,related
word_446 ,                        ,unrelated
word_448 ,                        ,related
word_448 ,                        ,unrelated
word_450 ,-2.0203853              ,related
word_450 ,-1.0253468              ,unrelated
word_452 ,-3.1236763              ,related
word_452 ,-4.0552106              ,unrelated
word_454 ,-6.211788               ,related
word_454 ,-5.4344954              ,unrelated
word_456 ,-0.10022878             ,related
word_456 ,-0.3868925              ,unrelated
word_458 ,                        ,related
word_458 ,                        ,unrelated
word_460 ,-1.0383766704272999     ,related
word_460 ,                        ,unrelated
word_462 ,-0.1602286556493        ,related
word_462 ,                        ,unrelated
word_464 ,-0.00031723134          ,related
word_464 ,-0.0005399277           ,unrelated
word_466 ,-6.54131                ,related
word_466 ,                        ,unrelated
word_468 ,-0.10963959961264999    ,related
word_468 ,                        ,unrelated
word_470 ,-0.40117496             ,related
word_470 ,-0.9350466              ,unrelated
word_472 ,-13.330616              ,related
word_472 ,                        ,unrelated
word_474 ,-2.1582587              ,related
word_474 ,-4.8980646              ,unrelated
word_476 ,-0.03394604             ,related
word_476 ,-0.37947968             ,unrelated
word_478 ,-1.6100807              ,related
word_478 ,-5.48129                ,unrelated
word_480 ,-0.00249559231265       ,related
word_480 ,                        ,unrelated
word_482 ,-9.65719594361265       ,related
word_482 ,                        ,unrelated
word_484 ,                        ,related
word_484 ,                        ,unrelated
word_486 ,-0.0031993354           ,related
word_486 ,-0.0023526954           ,unrelated
word_488 ,                        ,related
word_488 ,                        ,unrelated
word_490 ,-0.06201698             ,related
word_490 ,-0.38878214             ,unrelated
word_492 ,                        ,related
word_492 ,                        ,unrelated
word_494 ,-0.9779895              ,related
word_494 ,-5.3808317              ,unrelated
word_496 ,-5.6815352e-05          ,related
word_496 ,                        ,unrelated
word_498 ,-0.44308776             ,related
word_498 ,-8.20418                ,unrelated
